#Front	Back	Pronunciation
Добрый день (утро)	Dzien dobry	Джень добры
жена	z’ona	жона
невестка	bratowa	братова
сноха	synowa	сынова
брат	brat	брат
мальчик	chl’opiec	хлопец
Где я могу найти…	Gdzie moge znalezc…	Гдзе могэ зналещч…
Больница	Szpital	шпиталь
Ресторан	Restauracja	рэстаурацья
Поликлиника	Przychodnia Lekarska	пшиходня лекарска
Потребительский кооператив	PSS (Powszechna Spoldzielnia Spoz’ywco’w)	пэ-эс-эс (пофшэхна спулдзельня спожифцуф)
Скорая помощь	Pogotowie ratunkowe	поготове ратунковэ
Химчистка	Pralnia chemiczna	пральня хэмична
Мороженое	Lody	лёды
Пиво	Piwo	пиво
Бензоколонка	Stacja benzynowa	стацья бэнзынова
Есть ли у вас спички?	Czy ma pan(i) zapal’ki?	чшы ма пан(и) запалки?
Не хотите ли папиросу?	Czy pozwoli pan(i) papierosa?	чшы позволи пан(и) папероса?
Спасибо, я не курю	Dziekuje, nie pale	Дженкуе, не палэ
Где мы встретимся?	Gdzie sie, spotkamy?	гдже ще» споткамы?
Я хочу пойти куда-нибудь потанцевать	Chce, gdzies’ po’js’c’ potan’czyc’	хцэ гджещ пуйщчь потаньчичь
Разрешите пригласить вас (на танец)?	Czy pani pozwoli?	чшы пани позволи?
С удовольствием	Z przyjemnos’cia	с пшиемнощчё
Вы танцуете прекрасно	Tan’czy pan(i) wspaniale	таньчы пан(и) вcпаняле
Когда вы уезжаете?	Kiedy pan(i) wyjez’dz’a?	кеды пан(и) выежджа
Я уезжаю завтра	Wyjez’dz’am jutro	выежджамы ютро
Какой ваш адрес?	Jaki jest pana(l) adres?	яки ест пана(и) адрэс
Вот мой адрес	Oto mo’j adres	ото муй адрэс
На вокзале	Na dworcu	на дворцу
Дайте, пожалуйста, два билета в вагон второго класса в Варшаву.	Prosze, dwa bilety drugiej klasy do Warszawy.	прошэ два билеты, другей клясы до варшавы
Дайте, пожалуйста билет в спальный, вагон в Варшаву на 5 мая.	Prosze, о bilet sypialny do Warszawy na dzien’ 5 maja.	проще” о билет сыпяльны до варшавы на дзень пёнты мая
В каком классе?	kto’ra klasa?	ктуро” клясо»
Дайте, пожалуйста, билет в вагон первого класса на скорый (пассажирский) поезд в …, который от правляется в 0:05.	Prosze, о bilet pierwszej klasy nа pocia,g pospieszny (osobowy) do … ktory odjezdza о godzinie 0:05.	прошэ о билет перфшэй клясы на поцёнк поспешны (особовы) до … ктуры одъежджа о годжине зэро пенчь
Как пройти в билетную кассу?	Gdzie tu jest kasa biletowa?	гдже ту ест каса билетова
Билетная касса	Kasa biletowa	каса билетова
Когда идёт следующий поезд?	Kiedy jest naste,pny pocia,g?	кеды ест настэмпны почёнк
Следующий поезд отправляется через два часа.	Naste,pny pocia,g odjezdza za dwie godziny.	настэмпны почёнк одъежджа за две годжины
Расписание	Rozklad jazdy	росклад язды
электрички	— pocia,gi elektryczne	почёнги электрычнэ
пригородные поезда	— pocia,gi podmiejskie	почёнги подмейске
Сколько времени идёт поезд до…?	Jak dl’ugo jedzie sie, do …	як длуго едже ще” до…
Прибывает в …часов	Przyjez’dz’a o godzynie	пшиежджа о годжине
Можете ли вы позвать такси?	Czy moze pan(i) przywolac takso’wke?	чши можэ пан(и) пшиволачь таксуфкэ
Поедем на такси	Pojedziemy takso’wka	поеджемы таксувко
Вокзалы	Dworce	дворцэ
Варшава Центральная	Warszawa Centralna	варшава цэнтральна
Варшава Гданьская	Warszawa Gdan’ska	варшава гданьска
Носильщик!	Numerowy! Bagaz’owy!	нумеровы багажовы
Отнесите, пожалуйста, мои вещи к поезду на Будапешт.	Prosze, zanies’c’ mo’j bagaz’ na pocia,g do Budapesztu	прошэ нанещчь муй багаж на почёнк до будапэшту
Какой у вас вагон?	Jaki wagon pan(i) ma?	яки вагон пан(и) ма
Прибыл ли уже поезд на платформу?	Czy pocia,g juz wjechal’ na peron?	чы почёнк юш въехал на пэрон
Ваш вагон находится в конце (в начале) поезда.	Pan’ski wagon jest na kon’cu (pocza,tku) pociagu.	паньски вагон ест на коньцу (почёнтку) почёнгу
Где находится зал ожидания?	Gdzie jest poczekalnia?	гдже ест почэкальня
Сколько времени ос талось до отправле ния поезда?	lie czasu mamy jeszcze do odjazdu?	иле часу мамы ещэ до одъязду
Где здесь туалеты?	Gdzie tu sa, toalety?	гдже ту со» тоалеты
Туалетная бумага	Papier higieniczny	папер хигиеничны
Можно ли здесь умыть руки?	Czy moz’na tu umyc’ re,ce?	чшы можна ту умычь рэнцэ
Дайте, пожалуйста, полотенце.	Poprosze, о re,cznik.	попрошэ о рэнчник
У меня один чемодан (два чемодана) и этот свёрток.	Mam jedna walizke (dwie walizki) i te, paczke	мам едно» валискэ (две валиски) и тэ пачкэ
Пойдёмте в камеру хранения!	Chodz’my do przechowaini bagaz’u!	ходжимы до пшэховальни багажу
Дайте, пожалуйста, квитанцию.	Poprosze, о kwit.	попрошэ о кфит
Я хочу получить свой багаж	Chcial’bym odebrac’ swo’j bagaz’.	хчялбым одэбрачь сфуй багаш
Где принимают багаж?	Gdzie nadaje sie, bagaz’?	гдже надае ще” багаш
У меня только одно место (багажа).	Mam tylko jedna, walizke, (pakunek).	мам тылько едно”вализке» пакунэк
Этот чемодан сдадим в багаж.	Те, walizke, oddamy na bagaz’.	те» вализкэ” оддамы на багаш
Мой багаж состоит из 3-х мест.	Mo’j bagaz’ skl’ada sie, z trzech pakunko’w.	муй багаж склада ще» с чшэх пакункув
Какая оплата?	lie wynosi opl’ata?	иле вынощи оплата
С вас … зл.	Pl’aci pan(i) … zl’.	плачи пан(и) … злотых
Внимание! Скорый поезд … (пассажирский) отправляется с … платформы	Uwaga! Pocia,g pospieszny (osobowy) odjez’dz’a z toru …	увага почёнк поспешны (особовы) одъежджа с тору…
Прошу занимать места!	Prosze wsiadac’!	прошэ” фщядачь
Есть ли свободные места?	Czy sa, jeszcze wolne miejsca?	чшы со» ещчэ вольна мейсца
Все заняты.	Wszystkie sa, zajete.	фшистке со» заентэ
Есть ещё одно свобод ное место.	Jest jeszcze jedno wolne miejsce.	ест ещче едно вольнэ
Займите, пожалуйста, для меня это место, я сейчас прииду.	Prosze, zarezerwowac’ dla mnie to miejsce. Zaraz wracam.	прошэ» зарэзэрвовачь для мне то мейсцэ зараз врацма
Могу ли я поставить свой чемодан наверх?	Czy moge, postawic’ swoja, walizke, na go’re,?	чши могэ” поставичь своё» валискэ на гурэ»
Разрешите закурить?	Pozwoli pan(i), z’e zapale,?	позволи пан(и) жэ запалэ
Когда мы будем в…?	Kiedy bedziemy w … ?	кеды бэнджемы в …
Уже недалеко.	Juz’ niedaleko.	юш недалеко
Kaкая это станция?	Со to za stacja?	цо то за стация
Где мы (находимся)?	Gdzie jestes’my?	гдже естэшмы
Сколько мы будем стоять?	Jak dl’ugo stoimy?	як длуго стоимы
Только одну минуту.	Tylko 1 minute,.	тылько едно» минутэ
Вы далеко едете?	Czy daleko pan(i) jedzie?	чшы далеко пан(и) едже
Где вы выходите?	Gdzie pan(i) wysiada?	гдже пан(и) выщяда
Я еду в…	Jade, do…	ядэ” до …
Я выхожу в …	Wysiadam w…	выщядам в
Я выхожу на следующей остановке.	Wysiadam na nastepnej stacji.	выщядам на настэ»пнэй станции
Далеко еще до…?	Czy daleko jeszcze do … ?	чшы далеко есче до …
Еще три станции.	Jeszcze trzy stacje.	есче чши стацие
Где находится вагон-ресторан?	Gdzie znajduje sie, wagon restauracyjny?	гдже знайдуе ще” вагон рэстаурацыйны
Я хочу пройти в вагон-ресторан. Можете ли вы присмотреть за моими вешами?	Chcial’bym po’js’c’ do wagonu restauracyjnego Czy moz’e pan(i) przypilnowac’ moich bagaz’y?	хчялбым пуйщчь до вагону рэстаурацыйнэго чшы можэ пан(и) пшипильновачь моих багажы
Вагон-ресторан впереди, сзади.	Wagon restauracyjny jest za (przed) nami.	вагон рэстаурацыйны. ест за (пшэд) нами
Проверка билетов.	Prosze, bilety do kontroli.	проще” билеты до контроли
Я хочу доплатить за спальное место.	Chce, zapl’acic’ ro’z’nice do sypialnego.	хцэ заплачичь ружницэ до сыпяльнэго
Благодарю за компанию.	Dzie,kuje, za mile towarzystwo.	джe”кye за милэ тоеажистфо
Желаю вам счастливого пути.	Z’ycze, panu(i) szcze,s’liwej drogi.	жичэ пану(-и) счэнстливэй дроги
На границе	Na granicy	на границы
В котором часу мы будем на польско-российской границе?	O kto’rej godzinie be,dziemy na granicy polsko-rosyjskej?	о ктурэй годжине бэнджемы на польско-росыйскэй границы
Мы приехали на пограничную станцию.	Przyjechalis’my na stacje, graniczna,.	пшиехалищмы на стацие гранично»
Надо заполнить декларацию.	Prosze, wypel’nic’ deklaracje,.	прощэ» выпэлничь дэклярацъе»
Через полчаса мы будем на границе.	Za po’l’ godziny be,dziemy na granicy.	за пул годжины бэнджемы на границы
Проверка паспортов.	Kontrola paszportowa.	контроля пошпортова
Таможенный досмотр.	Kontrola celna	конторля цэльна
Прошу ваш паспорт.	Prosze, о pan’ski paszport.	проще о паньски пашпорт
Прошу сдать паспорта для оформления (проверки).	Prosze oddac’ paszporty do kontroli.	проще оддачь пашпорты до контроли
Приготовьте ваш багаж для таможен ного досмотра.	Prosze, przygotowac’ bagaz’e do kontroli celnej.	проще” пшиготовачь багаже дo контроли цэльнэй
Это чей модан?	Do kogo nalez’y ta walizka?	дo кого належы та вализка
Где ваш багаж?	Kto’ry jest pan’ski bagaz’?	ктуры ест паньски багаш
Что у вас здесь?	Со pan(i) tam ma?	цо пан(и) там ма
Прошу открыть чемодан.	Prosze, otworzyc’ walizke’	проще отфожичь валискэ
Будут ли у вас вещи, подлежащие обложению пошлиной?	Czy mа pan(i) cos’ do zadeklarowania (oclenia)?	чы ма пан(и) цош до задэклярованя (оцленя)
У меня только вещи точного пользования.	Mam tylko rzeczy do uz’ytku osobistego.	мам тылько жэчы дo ужётку особистэго
У меня есть несколько подарков и сувениров.	Маm kilka prezento’w i pamia,tek.	мам килька прэзэнтуф и памёнтэк
На вывоз этого нужна лицензия.	Na wywo’z tego potrzebne jest zezwolenie.	на вывус тэго потшэбнэ ест зэзволене
Есть ли у вас папиросы и алкоголь?	Czy ma pan(i) papierosy i alkohol.	чшы ма пан (и) паперосы и алкохоль
У меня есть несколько коробок папирос.	Tak, mam kilka pudel’ek papieroso’w.	так мам килька пудэлэк перосуф
Есть ли у вас что-либо?	Czy ma pan(i) cos’ jeszcie?	чши ма пан(и) цош ещче
За этот аппарат вы должны уплатить пошлину.	Za ten aparat musi pan(i) uis’cic’ opiate, celna,.	за тэн апарат мущи пан(и) уисьчичь оплатэ цэльно»
Какую пошлину я должен уплатить?	lie wynosi opl’ata?	иле вынощи, оплата
Это мы должны задержать. А это прещено вывозить за границу.	То musimy panu(i) zatrzymас’. Tego nie wolno wywozic’ za granice,.	то мущимы. пану(и) зачшимачь тэго не вольно вывожичь за границэ
Есть ли у вас с собой какие-либо деньги?	Czy mа pan(i) jakies’ pienia,dze przy sobie?	чы ма пан(и) якешь пенёндзэ пши собе
Где можно купить билеты на самолёт?	Gdzie moz’na kupic’ bilety na samolot?	гдже можна купичь билеты на самолёт
Где находится бюро “Лёт’а”?	Gdzie znajduje sie, biuro “Lotu”?	гдже знайдуе ще” бюро лету
Когда вылетает самолёт в Варшаву?	Kiedy odlatuje samolot do Warszawy?	кеды одлятуе самолёт до варшавы
Ежедневно. Раз (два раза) в неделю. По понедельникам и вторникам.	Codziennie. Raz (dwa razy) w tygodniu. W poniedzialki i wtorki.	цодженне раз (два разы) ф тыгодню ф понедзялки и фторки
Есть ли ещё свободные места на завтра, на пятницу?	Czy sa, jeszcze wolne miejsca na jutro, na piatek?	чы со» ещчэ вольнэ мейсца на ютро на пёнтэк
Есть ещё одно свободное место.	Jest jeszcze jedno wolne miejsce.	ест ещэ едно вольнэ мейсцэ
Билет можно купить здесь или в аэропорту?	Czy moge, kupic’ bilet tutaj, czy na lotnisku?	чы могэ купичь билет тутай чы на лётниску
На чём можно доехать до аэропорта?	Czym dojez’dza sie, do lotniska?	чым доежджа ще” до лётниска
Специальный автобус доставляет пассажиров в аэропорт.	Specjalny autobus odwozi pasaz’ero’w na lotnisko	спэциялъны аутобус одвожи на лётниско
Откуда и в котором часу отходит автобус в аэропорт?	Ska,d i о kto’rej godzinie odjez’dz’a autobus na lotnisko?	Сконт и о ктурэй годжине одъежджа аутобус на лётниско
В котором часу вылетает самолёт до…?	O kto’rej godzinie odlatuje samolot do…?	ктурэй годжине одлятуе самолёт до …
Во сколько прилетает?	O kto’rej godzinie przylatuje samolot z …?	o ктурэй годжине пшилятуе самолёт з …
Что это за самолёт?	Со to za samolot?	цо то за самолёт
Сколько времени зай мет перелёт до…?	Jak dlugo trwa lot do …?	як длуго трфа лет до …
Мы будем лететь … часов.	Lecimy … godzin.	лечимы … годжин
Можно ли забронировать билет до … на … число?	Сzу moz’na zarezerwowac’ bilet do … na dzien’ …?	чы можно зарэзэрвовачь билет до … на джень …
Можно.	Moz’na.	можна
Уже нет (нельзя).	Juz’ nie moz’na.	юш не можна
За сколько дней вперёд можно купить билет?	Na ile dni naprzo’d moz’na nabyc’ bilet?	на иле дни напшут можна набычь билет
Билет можно купить за неделю (10 дней) до отъезда.	Bilet moz’na kupic’ na tydzien’ (10 dni) przed terminem wyjazdu.	билет можна купичь на тыджень (джещеньчь дни) пшэт тэрминэм выязду
Прошу билет до…	Prosze, о bilet do…	прощэ” о билет до
Есть ли обратные билеты?	Сzу sa, bilety powrotne?	чшы со» билеты повротнэ
Да, они действительны 30 дней.	Owszem — waz’ne sa 30 dni.	офшэм важнэ со» чшидзещчи дни .
Дайте, пожалуйста, обратный билет.	Prosze, о bilet powrotny.	проще” о билет повротны
Сколько килограммов багажа можно взять с собой?	lie kilogramo’w bagazu moz’na zabrac’ ze soba,?	иле килёграмуф багажу можна забрачь зэ собо»
Можете взять с собой … кг.	Moz’e pan(i) zabrac’ … kg.	можэче забрачь … килёграмуф
Дайте, пожалуйста, билет на завтра, послезавтра.	Prosze bilet na jutro, pojutrze	Проше билет на ютро, поютше
Дайте билет до Кракова на ближайший поезд-экспресс	Prosze bilet do Krakowa nа najblizszy Express	Проше билет до Кракова на найближши экспрэс
Сколько стоит билет до Кракова на экспресс, Intersity и скорый поезд?	Ilе kosztuje bilet, do Krakowa na Express, Intercity i pospieszny?	Иле коштуе билет до Кракова на експрес, интерсити и поспешны?
Во сколько отходит ближайший поезд?	O ktorej godzinie odjezdza najblizszy pociag?	О ктурей годжине одъежджа найближши почёнг
Пожалуйста, два билета второго класса на экспресс на 12:15.	Prosze dwa bilety drugiej klasy na Express o dwunastej pietnascie.	Проше два билеты другей классы на экпрэс о двунастэй пентнащче
Могу ли я купить билет в Прагу?	Prosze bilet do Pragi	Проше билет до Праги
Я хочу купить билет до Москвы на 5-е мая.	Chcialbym kupic bilet do Moskwy na piatego maja.	Хчалбым купич билет до Москвы на пёнтэго мая.
Какие поезда едут в Берлин из Кракова?	Jakie pociagi jezdza z Krakowa do Berlina?	Яке почёнги ежджон з Кракова до Берлина
Багажная касса	Kasa bagaz’owa	каса багажова
Камера хранения багажа (ручного)	Przechowalnia bagazu	пшэховальня багажу
Проход воспрещён	Przejs’cie wzbronione	пшэйщче взбронёнэ
Железная дорога	Kolej	колей
Какие поезда отправляются в…?	Jakie pocia,gi jada, do …?	яке почёги ядо» до
В котором часу будет поезд до…?	O kto’rej godzinie mam pol’a,czenie do …?	о ктурэй годжине мам полончэне до …
В… часов отправляется пассажирский	O godzinie … odjezdza pocia,g osobowy.	о годзине … одъежджа почёнк особовы
Вы можете ехать скорым поездом в… часов.	Ма pan(i) pos’pieszny о godzinie…	ма пан(и) посьпешны о годжине …
Это поезд прямого сообщения?	Czy to pocia,g bezpos’redni?	чшы то почйнк бэспощьрэдни
Где надо сделать пересадку?	Gdzie trzeba sie, przesia,s’c’?	где тшэба ще” пшейщчь
Разве (уже) нет других поездов?	Czy innych pociago’w juz nie ma?	чши инных почёнгуф юш не ма
В котором часу при бывает поезд?	O kto’rej godzinie przyjezdza pocia,g?	о ктурэй годжине пишежджа noчёнк
Отправляется в … часов	Odjez’dz’a o godzynie	одъежджа о годжине
фамилия	nazwisko	назвиско
девичья фамилия	nazwisko panien’skie (z domu)	назвиско паненьске (з дому)
имена родителей	imiona rodzico’w	имена роджицуф
год и место рождения	data i miejsce urodzenia	дата и мейсцэ уроджениа
гражданство	obywatelstwo	обывачэльстфо
национальность	narodowos’c’	народовощчь
профессия, специальность	zawo’d	завут
образование	wyksztal’czenie	выкшталчэне
гражданское состояние	stan cywilny	стан цывильны
место постоянного жительства	miejsce stal’ego zamieszkania	мейсцэ сталэго замешканя
настоящий адрес	obecny adres	обэцны адрес
отношение к воинской повинности	stosunek do sl’uz’by wojskowej	стосунэк до службы войсковэй
военнообязанный	w wieku poborowym	в веку поборовым
Язык	Je,zyk	e”зык
Какой иностранный язык вы знаете?	Jaki je,zyk obcy zna pan(i)?	яки e”зык опцы зна пан(и)
Знаете ли вы польский язык?	Czy zna pan(i) je,zyk polski?	чы зна пан(и) e”зык польски
Немного понимаю по-польски.	Rozumiem troche, po polsku.	розумем трохэ» по польску
Я говорю немного по-немецки.	Mowie, troche po niemiecku.	муве трохэ по немецку
Не понимаю по-фран цузски.	Nie rozumiem po francusku.	не разумем по француску
Кто здесь понимает по-польски?	Kto tu rozumie po polsku?	кто ту розуме по польску
Кто вы по нацио нальности?	Jakiej pan(i) jest narodowos’ci?	якей пан(и) ест народовощчи
Мы российские студенты.	Jestesmy studentami rosyjskimi.	естэшмы студэнтами росыйскими
Вы откуда?	Ska,d pan(i) jest?	сконт пан(и) ест
Я приехал из Москвы.	Przyjechal’em z Moskwy.	пшиехалэм з москфы
Ваша профессия? (Кто вы по специальности?)	Jaki pan(i) ma zawo’d?	яки пан(и) ма завут
Чем вы занимаетесь?	Czym sie, pan(i) zajmuje?	чым ще” пан(и) займуе
Где вы работаете?	Gdzie pan(i) pracuje?	где пан(и) працуе
В каком учреждении вы работаете?	W jakiej instytucji pan(i) pracuje?	в якей инстытуции пан(и) працуе)
Кем вы работаете?	Jakie pan(i) zajmuje stanowisko?	яке пан(и) займуе становиско
Я работаю на автомобильном заводе.	Pracuje, w fabryce samochodo’w.	працуе» ф фабрыце самоходуф
Я директор фабрики…	Jestem dyrektorem fabryki.	естэм дыректорэм фабрыки
Я бухгалтер в банке.	Jestem ksie,gowym w banku.	естэм кщёнгoвым в банку
Какую должность вы занимаете?	Jaka, funkcje, pan(i) pel’ni?	яко» функцъе» пан(и) пэлни
Я уже ушел на пенсию.	Jestem na emeryturze.	естэм на эмэрытужэ
риентация в городе	Orientacja w mies’cie	ориентация в мещче
Извините!	Przepraszam bardzo!	пшэпрашам бардзо
Где улица…	Gdzie jest ulica …?	гдже ест улица
В этом направлении.	W tym kierunku.	ф тым керунку
В противоположном направлении.	W przeciwnym kierunku.	ф пшэчивным керунку
С правой (левой) стороны.	Ро prawej (lewej) stronie.	по правэй (левэй) строне
Первая улица на право.	Pierwsza ulica na prawo.	перфша улица на право
Вторая улица налево.	Druga ulica na lewo.	друга улица на лево
В каком направлении надо идти, чтобы дойти до гостиницы «Бристоль»?	Kto’re,dy mam is’c’ do hotelu „Bristol»?	ктурэнды мам ищчь до хотэлю бристоль
Это далеко?	Czy to daleko?	чы то далеко
Довольно далеко, примерно полкило метра.	Dos’c’ daleko’ be,dzie z po’l’ kilometra	дощчь далеко бэньдже с пул килёмэтра
Совсем близко, метров 200.	Jest cal’kiem blisko, moz’e 200 metro’w	ест цалкем блиско можэ двещче мэтруф
Где здесь находится ресторан?	Gdzie tu jest restauracja?	гдже ту ест рэстаурация
По этой стороне (по ту сторону) улицы.	Ро tej (tamtej) stronie uliсу.	по тэй (тамтэй) строне улицы
Сразу же напротив.	Zaraz naprzeciwko.	зараз напшэчифко
За углом (улицы) на лево.	Za rogiem (ulicy) na lewo.	за рогем (улицы) на лево
За этим зданием.	W tyie za tym budynkiem.	ф тыле за тым будынкем
Где здесь остановка трамвая № 6?	Gdzie jest przystanek linii tramwajowej nr 6?	гдже ест пшыстанэк линьи трамваёвэй нумэр шэщчь
К сожалению, я не могу вам сказать.	Niestety, nie moge, pana(-i) poinformowac’.	нестэты, не могэ пана(-и) поинформовачь
Спросите, пожалуйста, у полицейского.	Prosze, spytac’ policjanta.	проще» спытачь полицианта
близко, ближе	bllsko, bllzej	блиско, ближэй
вверх, наверху	w go’re, na go’rze	в гурэ, на гужэ
вертикально	pionowo	пёново
влево	na lewo (w lewo)	на лево (в лево)
вперёд, впереди	naprzo’d (do przodu); na przodzie (z przodu)	напшут (до пшоду) на пшодже (спшоду)
вправо	na prawo (w prawo)	на право (вправо)
высоко, выше	wysoko, wyz’ej	высоко, выжей
далеко, дальше	daleko, dalej	далеко, далей
глубоко, глубже	gl’e,boko, gl’e,biej	глэмбоко, глэмбей
здесь	tu, tutaj	ту, тутай
сюда	tu, tutaj	ту, тутай
там. туда	tam	там
назад, сзади	w tyl’, z tyl’u	фтыл, стылу
Справочное бюро (приём жалоб)	Informacje i reklamacje.	информацйе и рэклямацйе
Правостороннее движение	Jechac’ prawa, strona	ехаць право» строно»
Одностороннее движение	Jeden kierunek ruchu	еден керунек руху
Где здесь справочное бюро?	Gdzie tu jest informacja?	гдже ту ест информация
Самолёт	Samolot	самолёт
Укажите мне, пожалуйста, место.	Prosze mi wskazac’ moje miejsce.	проще” ми фсказачь мое мейсцэ
Как вы себя чувствуете?	Jak sie, pan(i) czuje?	як ще” пан(и) чуе
Я чувствую себя неважно.	Nie czuje, sie, zbyt dobrze.	не чуе» се» збыт добжэ
Мне плохо.	Jest mi niedobrze.	ест ми недобже
Не хотите ли рюмочку коньяка?	Czy z’yczy pan(i) sobie kieliszek koniaku?	чшы жичы пан(и) собе келишэк коняку
Самолёт: идёт на старт.	Samolot: startuje.	самолёт стартуе
Во сколько отправляется автобус в Краков ?	O kto’rej godzinie odchodzi autobus do Krakowa?	о ктурэй годжине отходжи аутобус до Кракова
Какое сообщение имеется с Закопане?	Jakie jest pol’a,czenie do Zakopanego?	яке ест полончэне до закопанэго
Автобус в Закопане идёт в 11 часов.	Pol’a,czenie do Zakopanego ma pan(i) о godzinie 11.	полончэне до закопанэго ма пан(и) о годжине едэнастэй
Есть ли ещё места до Закопане на 11 часов?	Czy sa jeszcze miejsca do Zakopanego na godzine 11?	мейсца до закопанэго на годжинэ едэнасто»
